timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1767034848.065346,2025-12-29T20:00:48.520783,Mandarine,0,0.0,0.0,397,13.4,53.38,10.65,74.36,948.34,39640
1767034850.0654354,2025-12-29T20:00:50.374211,Mandarine,0,0.0,0.0,,,,10.65,74.27,948.33,7789
1767034852.0655482,2025-12-29T20:00:52.612795,Mandarine,0,0.0,0.0,398,13.41,53.39,10.67,74.19,948.33,10526
1767034854.065629,2025-12-29T20:00:54.374360,Mandarine,0,0.0,0.0,,,,10.69,74.05,948.31,13733
1767034856.0657146,2025-12-29T20:00:56.520978,Mandarine,0,0.0,0.0,398,13.4,53.42,10.71,73.92,948.3,16913
1767034858.06583,2025-12-29T20:00:58.522565,Mandarine,0,0.0,0.0,398,13.41,53.44,10.72,73.77,948.31,20081
1767034860.0659137,2025-12-29T20:01:00.521163,Mandarine,0,0.0,0.0,398,13.41,53.43,10.73,73.66,948.29,23503
1767034862.0659854,2025-12-29T20:01:02.521206,Mandarine,0,0.0,0.0,398,13.4,53.38,10.75,73.59,948.29,26495
1767034864.0660882,2025-12-29T20:01:04.522579,Mandarine,0,0.0,0.0,398,13.43,53.4,10.76,73.47,948.28,29767
1767034866.0661619,2025-12-29T20:01:06.521439,Mandarine,0,0.0,0.0,398,13.41,53.44,10.77,73.38,948.29,32964
1767034868.0662384,2025-12-29T20:01:08.521522,Mandarine,0,0.0,0.0,397,13.41,53.41,10.77,73.28,948.29,35784
1767034870.0663445,2025-12-29T20:01:10.522907,Mandarine,0,0.0,0.0,397,13.41,53.4,10.78,73.21,948.29,38917
1767034872.0664253,2025-12-29T20:01:12.521796,Mandarine,0,0.0,0.0,398,13.38,53.4,10.79,73.19,948.28,41734
1767034874.0664985,2025-12-29T20:01:14.521854,Mandarine,0,0.0,0.0,397,13.38,53.39,10.79,73.14,948.29,44475
1767034876.06664,2025-12-29T20:01:16.524175,Mandarine,0,0.0,-0.13,397,13.41,53.41,10.8,73.08,948.28,47770
1767034878.0667198,2025-12-29T20:01:18.522560,Mandarine,0,0.0,-0.12,397,13.4,53.42,10.81,73.06,948.28,50334
1767034880.0667973,2025-12-29T20:01:20.522608,Mandarine,0,0.0,-0.62,397,13.43,53.41,10.81,73.02,948.29,53123
1767034882.0669138,2025-12-29T20:01:22.524108,Mandarine,0,0.0,-0.07,397,13.4,53.39,10.82,72.96,948.28,55688
1767034884.0669963,2025-12-29T20:01:24.522828,Mandarine,0,0.0,-0.58,397,13.44,53.45,10.82,72.9,948.29,58314
1767034886.0670757,2025-12-29T20:01:26.375788,Mandarine,0,0.0,0.0,,,,10.83,72.89,948.29,60420
1767034888.0671878,2025-12-29T20:01:28.615102,Mandarine,0,0.0,-0.03,397,13.4,53.42,10.83,72.86,948.29,62637
1767034890.06727,2025-12-29T20:01:30.375995,Mandarine,0,0.0,0.0,,,,10.83,72.86,948.29,65123
