timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1766974241.0302896,2025-12-29T03:10:41.576421,Raum,0,0.0,0.0,2044,25.96,45.12,22.98,54.99,948.98,135629
1766974243.0303671,2025-12-29T03:10:43.339105,Raum,0,0.0,0.0,,,,22.99,54.91,948.98,41410
1766974245.0304542,2025-12-29T03:10:45.485701,Raum,0,0.0,0.0,2046,25.93,45.08,23.01,54.76,948.98,52566
1766974247.0305638,2025-12-29T03:10:47.486980,Raum,0,0.0,0.0,2044,25.96,45.1,23.03,54.61,948.99,62181
1766974249.0306337,2025-12-29T03:10:49.485843,Raum,0,0.0,0.0,2044,25.98,45.16,23.04,54.49,948.98,70387
1766974251.030707,2025-12-29T03:10:51.485928,Raum,0,0.0,0.0,2042,25.95,45.16,23.06,54.39,948.98,77201
1766974253.030811,2025-12-29T03:10:53.487372,Raum,0,0.0,0.0,2036,25.99,45.32,23.07,54.28,948.98,82901
1766974255.0308812,2025-12-29T03:10:55.486086,Raum,0,0.0,0.0,2035,25.99,45.39,23.08,54.2,948.98,87223
1766974257.0309496,2025-12-29T03:10:57.486180,Raum,0,0.0,0.0,2035,25.99,45.42,23.09,54.17,948.98,91624
1766974259.031035,2025-12-29T03:10:59.487661,Raum,0,0.0,0.0,2032,25.98,45.35,23.1,54.13,948.98,96731
1766974261.031102,2025-12-29T03:11:01.486344,Raum,0,0.0,0.0,2034,25.98,45.3,23.11,54.1,948.98,98291
1766974263.0311766,2025-12-29T03:11:03.486497,Raum,0,0.0,0.0,2034,26.0,45.19,23.12,54.06,948.98,100609
1766974265.031285,2025-12-29T03:11:05.488073,Raum,0,0.0,0.0,2036,26.0,45.19,23.13,54.02,948.98,103413
1766974267.0313458,2025-12-29T03:11:07.487384,Raum,0,0.3,-0.83,2036,26.0,45.14,23.13,53.99,948.98,104553
1766974269.0314207,2025-12-29T03:11:09.487217,Raum,0,0.71,-0.15,2037,25.99,45.11,23.14,53.97,948.98,105916
1766974271.0315168,2025-12-29T03:11:11.488612,Raum,0,1.1,-0.73,2039,25.98,45.14,23.14,53.94,948.98,108820
1766974273.0315933,2025-12-29T03:11:13.487319,Raum,0,1.01,-0.66,2041,25.96,45.13,23.14,53.93,948.98,109589
1766974275.0316591,2025-12-29T03:11:15.487439,Raum,0,0.52,-0.04,2042,25.92,45.15,23.15,53.92,948.99,112329
1766974277.0317328,2025-12-29T03:11:17.488937,Raum,0,0.93,-0.61,2044,25.96,45.15,23.15,53.86,948.99,112035
1766974279.0318062,2025-12-29T03:11:19.487568,Raum,0,-0.44,0.0,2043,25.95,45.19,23.16,53.88,948.99,112329
1766974281.031882,2025-12-29T03:11:21.487642,Raum,0,-0.88,-0.57,2041,25.92,45.22,23.16,53.84,949.0,115367
1766974283.0319858,2025-12-29T03:11:23.342151,Raum,0,0.0,0.0,,,,23.16,53.83,948.99,115994
1766974285.0320628,2025-12-29T03:11:25.487752,Raum,0,-0.38,0.03,2040,25.92,45.18,23.17,53.83,948.99,116868
1766974287.0321224,2025-12-29T03:11:27.487809,Raum,0,-1.29,-0.55,2037,25.95,45.17,23.17,53.82,949.0,115680
1766974289.0321712,2025-12-29T03:11:29.488915,Raum,0,0.15,-0.52,2037,25.95,45.2,23.17,53.81,948.99,116390
1766974291.032244,2025-12-29T03:11:31.487897,Raum,0,0.61,0.08,2038,25.98,45.19,23.18,53.81,949.0,117674
1766974293.0323098,2025-12-29T03:11:33.488080,Raum,0,0.12,-0.5,2038,25.98,45.19,23.18,53.8,948.99,117512
1766974295.0324323,2025-12-29T03:11:35.489277,Raum,0,0.6,-0.48,2039,25.98,45.15,23.18,53.81,948.99,118655
1766974297.0325413,2025-12-29T03:11:37.488346,Raum,0,1.07,0.11,2041,25.98,45.12,23.19,53.79,948.99,118986
1766974299.0326607,2025-12-29T03:11:39.488419,Raum,0,1.02,-0.47,2043,25.98,45.09,23.19,53.78,948.99,119402
1766974301.0328033,2025-12-29T03:11:41.489956,Raum,0,0.5,-0.45,2044,26.0,45.06,23.19,53.77,948.98,121528
