timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1768062911.173045,2026-01-10 17:35:11.460547,MandarineGANZ,0,0.0,0.01,513.0,13.17,65.22,10.09,84.97,937.26,9828434.0
1768062913.173114,2026-01-10 17:35:13.460578,MandarineGANZ,0,0.0,0.01,513.0,13.17,65.22,10.09,84.98,937.26,9819598.0
1768062915.1732132,2026-01-10 17:35:15.462297,MandarineGANZ,0,0.0,0.01,513.0,13.17,65.23,10.09,84.97,937.26,9837286.0
1768062917.1733,2026-01-10 17:35:17.460772,MandarineGANZ,0,-0.02,0.01,513.0,13.14,65.22,10.09,84.95,937.26,9846153.0
1768062919.1733646,2026-01-10 17:35:19.460820,MandarineGANZ,0,0.0,0.01,513.0,13.15,65.21,10.09,84.96,937.26,9846153.0
1768062921.1734638,2026-01-10 17:35:21.462361,MandarineGANZ,0,-0.02,0.01,513.0,13.15,65.17,10.09,84.95,937.26,9837286.0
1768062923.1735442,2026-01-10 17:35:23.461003,MandarineGANZ,0,-0.02,0.01,513.0,13.14,65.22,10.09,84.91,937.25,9837286.0
1768062925.1736226,2026-01-10 17:35:25.461746,MandarineGANZ,0,-1.37,0.01,512.0,13.17,65.21,10.09,84.97,937.25,9837286.0
1768062927.1737325,2026-01-10 17:35:27.315299,MandarineGANZ,0,0.0,0.0,,,,10.09,84.94,937.25,9855037.0
1768062929.173819,2026-01-10 17:35:29.461226,MandarineGANZ,0,0.0,0.01,512.0,13.17,65.22,10.09,84.95,937.25,9819598.0
1768062931.173898,2026-01-10 17:35:31.461254,MandarineGANZ,0,0.02,0.01,512.0,13.17,65.2,10.09,84.95,937.25,9819598.0
1768062933.1740162,2026-01-10 17:35:33.462886,MandarineGANZ,0,0.02,0.01,512.0,13.18,65.22,10.09,84.96,937.24,9828434.0
1768062935.1740994,2026-01-10 17:35:35.461794,MandarineGANZ,0,0.02,0.01,512.0,13.15,65.18,10.09,84.95,937.24,9828434.0
1768062937.1741812,2026-01-10 17:35:37.461558,MandarineGANZ,0,1.42,0.01,513.0,13.18,65.2,10.09,84.95,937.24,9828434.0
1768062939.174275,2026-01-10 17:35:39.462896,MandarineGANZ,0,0.0,0.01,513.0,13.18,65.18,10.09,84.96,937.25,9846153.0
1768062941.1743555,2026-01-10 17:35:41.461725,MandarineGANZ,0,0.0,0.01,513.0,13.14,65.2,10.09,84.96,937.25,9855037.0
1768062943.1744337,2026-01-10 17:35:43.461844,MandarineGANZ,0,0.0,0.01,513.0,13.17,65.18,10.09,84.94,937.26,9855037.0
1768062945.1745417,2026-01-10 17:35:45.463508,MandarineGANZ,0,-1.42,0.01,512.0,13.14,65.2,10.09,84.95,937.25,9846153.0
1768062947.174621,2026-01-10 17:35:47.462107,MandarineGANZ,0,0.05,0.01,512.0,13.15,65.18,10.09,84.94,937.24,9837286.0
1768062949.174694,2026-01-10 17:35:49.462142,MandarineGANZ,0,0.05,0.01,512.0,13.15,65.18,10.09,84.95,937.24,9837286.0
1768062951.1748018,2026-01-10 17:35:51.463675,MandarineGANZ,0,1.47,0.01,513.0,13.14,65.18,10.09,84.96,937.24,9828434.0
1768062953.1748831,2026-01-10 17:35:53.462346,MandarineGANZ,0,1.42,0.01,514.0,13.18,65.21,10.09,84.95,937.23,9855037.0
1768062955.1749616,2026-01-10 17:35:55.462550,MandarineGANZ,0,-1.41,0.01,513.0,13.14,65.2,10.09,84.95,937.23,9855037.0
1768062957.1750703,2026-01-10 17:35:57.463616,MandarineGANZ,0,0.0,0.01,513.0,13.14,65.19,10.09,84.94,937.23,9837286.0
1768062959.175157,2026-01-10 17:35:59.462634,MandarineGANZ,0,0.0,0.01,513.0,13.14,65.2,10.09,84.91,937.23,9837286.0
1768062961.175238,2026-01-10 17:36:01.462633,MandarineGANZ,0,1.41,0.01,514.0,13.17,65.22,10.09,84.95,937.23,9846153.0
1768062963.175348,2026-01-10 17:36:03.316768,MandarineGANZ,0,0.0,0.0,,,,10.09,84.95,937.23,9837286.0
1768062965.1754348,2026-01-10 17:36:05.462926,MandarineGANZ,0,0.0,0.01,514.0,13.14,65.22,10.09,84.96,937.22,9846153.0
1768062967.1755023,2026-01-10 17:36:07.462894,MandarineGANZ,0,0.0,0.01,514.0,13.15,65.22,10.09,84.95,937.22,9846153.0
1768062969.1756186,2026-01-10 17:36:09.464403,MandarineGANZ,0,-0.02,0.01,514.0,13.17,65.21,10.09,84.95,937.22,9855037.0
1768062971.1757002,2026-01-10 17:36:11.463090,MandarineGANZ,0,-1.41,0.01,513.0,13.15,65.22,10.09,84.95,937.22,9846153.0
1768062973.1757796,2026-01-10 17:36:13.463145,MandarineGANZ,0,1.37,0.01,514.0,13.17,65.19,10.09,84.94,937.23,9846153.0
1768062975.175881,2026-01-10 17:36:15.464857,MandarineGANZ,0,0.0,0.01,514.0,13.15,65.19,10.09,84.98,937.23,9881785.0
1768062977.1759577,2026-01-10 17:36:17.463350,MandarineGANZ,0,0.0,0.01,514.0,13.14,65.16,10.09,84.95,937.24,9855037.0
1768062979.1760345,2026-01-10 17:36:19.463450,MandarineGANZ,0,0.0,0.01,514.0,13.15,65.21,10.09,84.95,937.25,9855037.0
1768062981.1761792,2026-01-10 17:36:21.464993,MandarineGANZ,0,0.0,0.01,514.0,13.14,65.22,10.09,84.99,937.25,9855037.0
1768062983.1762617,2026-01-10 17:36:23.463744,MandarineGANZ,0,-0.05,0.01,514.0,13.18,65.22,10.09,84.95,937.24,9855037.0
1768062985.1763413,2026-01-10 17:36:25.463976,MandarineGANZ,0,-0.03,0.01,514.0,13.15,65.19,10.09,84.9,937.24,9855037.0
1768062987.1764505,2026-01-10 17:36:27.465249,MandarineGANZ,0,-0.03,0.01,514.0,13.15,65.18,10.09,84.95,937.24,9846153.0
1768062989.1765318,2026-01-10 17:36:29.464032,MandarineGANZ,0,-1.53,0.01,513.0,13.15,65.2,10.09,84.95,937.24,9855037.0
1768062991.1766086,2026-01-10 17:36:31.464098,MandarineGANZ,0,0.0,0.0,513.0,13.14,65.22,10.09,84.95,937.23,9846153.0
1768062993.17671,2026-01-10 17:36:33.465701,MandarineGANZ,0,1.48,0.0,514.0,13.17,65.2,10.09,84.95,937.24,9828434.0
1768062995.1767898,2026-01-10 17:36:35.464441,MandarineGANZ,0,-0.03,0.0,514.0,13.15,65.22,10.09,84.89,937.23,9855037.0
1768062997.1768544,2026-01-10 17:36:37.317236,MandarineGANZ,0,0.0,0.0,,,,10.09,84.95,937.23,9863937.0
1768062999.1769464,2026-01-10 17:36:39.556624,MandarineGANZ,0,-1.53,0.0,513.0,13.15,65.24,10.09,84.95,937.23,9855037.0
1768063001.1770296,2026-01-10 17:36:41.317376,MandarineGANZ,0,0.0,0.0,,,,10.09,84.95,937.24,9846153.0
1768063003.1770885,2026-01-10 17:36:43.464498,MandarineGANZ,0,-0.03,0.0,513.0,13.14,65.2,10.09,84.94,937.24,9846153.0
1768063005.1771696,2026-01-10 17:36:45.466130,MandarineGANZ,0,-0.05,0.01,513.0,13.17,65.23,10.09,84.95,937.24,9855037.0
1768063007.1772344,2026-01-10 17:36:47.355924,MandarineGANZ,1,-1.6,250.22,512.0,13.15,65.22,,,,
