timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1768073960.8565397,2026-01-10T20:39:21.312080,OrangeSchimmel,0,0.0,0.0,631,12.77,64.01,10.06,78.51,940.03,30556
1768073962.8566208,2026-01-10T20:39:23.312099,OrangeSchimmel,0,0.0,0.0,633,12.76,64.09,10.07,78.49,940.03,5684
1768073964.8567007,2026-01-10T20:39:25.312182,OrangeSchimmel,0,0.0,0.0,639,12.76,64.04,10.09,78.43,940.03,5684
1768073966.8568153,2026-01-10T20:39:27.313595,OrangeSchimmel,0,0.0,0.0,642,12.73,64.08,10.11,78.33,940.03,5684
1768073968.8568845,2026-01-10T20:39:29.165669,OrangeSchimmel,0,0.0,0.0,,,,10.12,78.25,940.03,5684
1768073970.8569672,2026-01-10T20:39:31.403070,OrangeSchimmel,0,0.0,0.0,643,12.76,64.16,10.14,78.16,940.04,6090
1768073972.8570805,2026-01-10T20:39:33.167140,OrangeSchimmel,0,0.0,0.0,,,,10.15,78.1,940.05,6779
1768073974.8571558,2026-01-10T20:39:35.312484,OrangeSchimmel,0,0.0,0.0,642,12.76,64.17,10.16,78.03,940.06,7650
1768073976.8572366,2026-01-10T20:39:37.312492,OrangeSchimmel,0,0.0,0.0,644,12.76,64.13,10.17,77.98,940.06,8641
1768073978.8573477,2026-01-10T20:39:39.313913,OrangeSchimmel,0,0.0,0.0,645,12.76,64.2,10.17,77.96,940.07,9773
1768073980.8574216,2026-01-10T20:39:41.312692,OrangeSchimmel,0,0.0,0.0,648,12.75,64.24,10.18,77.92,940.08,11072
1768073982.8574967,2026-01-10T20:39:43.312756,OrangeSchimmel,0,0.0,0.0,652,12.75,64.25,10.19,77.92,940.08,12764
1768073984.8576097,2026-01-10T20:39:45.314363,OrangeSchimmel,0,0.0,0.0,659,12.75,64.28,10.2,77.88,940.09,14499
1768073986.8576906,2026-01-10T20:39:47.313039,OrangeSchimmel,0,0.0,0.0,661,12.76,64.28,10.2,77.88,940.09,16218
1768073988.8577673,2026-01-10T20:39:49.313873,OrangeSchimmel,0,0.56,-0.15,665,12.73,64.33,10.21,77.88,940.08,17967
1768073990.8578787,2026-01-10T20:39:51.315208,OrangeSchimmel,0,0.53,-0.68,669,12.75,64.35,10.21,77.88,940.08,19783
1768073992.8579538,2026-01-10T20:39:53.313837,OrangeSchimmel,0,0.04,-0.62,672,12.76,64.37,10.21,77.88,940.09,21411
1768073994.858031,2026-01-10T20:39:55.313938,OrangeSchimmel,0,-0.93,-0.04,673,12.75,64.4,10.22,77.9,940.08,22930
1768073996.8581293,2026-01-10T20:39:57.315377,OrangeSchimmel,0,1.06,-0.58,678,12.73,64.4,10.22,77.91,940.09,24629
1768073998.8582168,2026-01-10T20:39:59.314041,OrangeSchimmel,0,-0.93,-0.54,679,12.75,64.45,10.22,77.94,940.09,26074
1768074000.8583014,2026-01-10T20:40:01.314147,OrangeSchimmel,0,0.08,0.03,682,12.75,64.43,10.23,77.93,940.09,27414
1768074002.85841,2026-01-10T20:40:03.315638,OrangeSchimmel,0,0.08,-0.51,685,12.77,64.46,10.23,77.99,940.1,28667
1768074004.8584971,2026-01-10T20:40:05.167224,OrangeSchimmel,0,0.0,0.0,,,,10.23,77.99,940.1,29997
1768074006.8585856,2026-01-10T20:40:07.314344,OrangeSchimmel,0,-0.93,-0.48,686,12.76,64.5,10.23,78.01,940.1,31090
1768074008.8586946,2026-01-10T20:40:09.315717,OrangeSchimmel,0,-0.89,0.08,687,12.76,64.52,10.24,78.06,940.09,32096
1768074010.8587778,2026-01-10T20:40:11.314501,OrangeSchimmel,0,-0.34,-0.47,689,12.77,64.54,10.24,78.07,940.09,33143
1768074012.8588574,2026-01-10T20:40:13.314579,OrangeSchimmel,0,0.71,-0.45,693,12.75,64.55,10.24,78.09,940.09,34124
1768074014.8589523,2026-01-10T20:40:15.316026,OrangeSchimmel,0,0.68,-0.43,697,12.76,64.58,10.24,78.11,940.08,34905
1768074016.8590384,2026-01-10T20:40:17.314779,OrangeSchimmel,0,0.13,-0.41,700,12.76,64.63,10.24,78.16,940.09,35754
1768074018.8591197,2026-01-10T20:40:19.314895,OrangeSchimmel,0,-0.41,-0.39,702,12.75,64.58,10.24,78.15,940.08,36456
1768074020.8592107,2026-01-10T20:40:21.315636,OrangeSchimmel,0,-0.4,0.17,704,12.75,64.66,10.25,78.19,940.08,37122
1768074022.8592944,2026-01-10T20:40:23.315143,OrangeSchimmel,0,-0.95,-0.39,705,12.75,64.68,10.25,78.22,940.08,37813
1768074024.8593688,2026-01-10T20:40:25.315308,OrangeSchimmel,0,-0.36,-0.38,707,12.73,64.68,10.25,78.22,940.09,38461
1768074026.8594716,2026-01-10T20:40:27.316503,OrangeSchimmel,0,-0.35,-0.36,709,12.75,64.69,10.25,78.28,940.09,39024
1768074028.8595529,2026-01-10T20:40:29.315424,OrangeSchimmel,0,0.8,-0.35,713,12.76,64.71,10.25,78.29,940.08,39530
1768074030.859636,2026-01-10T20:40:31.315457,OrangeSchimmel,0,0.78,0.22,717,12.75,64.75,10.26,78.31,940.07,40125
1768074032.8597448,2026-01-10T20:40:33.316894,OrangeSchimmel,0,1.92,-0.35,723,12.76,64.74,10.26,78.35,940.07,40544
1768074034.8598146,2026-01-10T20:40:35.315770,OrangeSchimmel,0,0.67,-0.34,727,12.75,64.79,10.26,78.38,940.07,40973
1768074036.8598866,2026-01-10T20:40:37.315724,OrangeSchimmel,0,-0.46,-0.33,729,12.75,64.81,10.26,78.4,940.07,41370
1768074038.8599958,2026-01-10T20:40:39.317248,OrangeSchimmel,0,2.37,-0.32,736,12.75,64.83,10.26,78.43,940.07,41734
1768074040.8600786,2026-01-10T20:40:41.168828,OrangeSchimmel,0,0.0,0.0,,,,10.26,78.47,940.08,42146
1768074042.8601537,2026-01-10T20:40:43.315861,OrangeSchimmel,0,-1.55,-0.32,736,12.75,64.87,10.26,78.48,940.08,42482
1768074044.860267,2026-01-10T20:40:45.317545,OrangeSchimmel,0,0.08,-0.31,739,12.77,64.88,10.26,78.51,940.06,42996
1768074046.8603501,2026-01-10T20:40:47.316091,OrangeSchimmel,0,0.08,0.27,742,12.77,64.88,10.27,78.54,940.07,43083
1768074048.8604302,2026-01-10T20:40:49.316388,OrangeSchimmel,0,-1.52,-0.31,742,12.76,64.92,10.27,78.55,940.08,43345
1768074050.8605366,2026-01-10T20:40:51.317639,OrangeSchimmel,0,0.12,-0.3,745,12.76,64.92,10.27,78.59,940.08,43567
1768074052.86062,2026-01-10T20:40:53.316391,OrangeSchimmel,0,-0.41,-0.29,747,12.76,64.96,10.27,78.61,940.08,43700
1768074054.8607,2026-01-10T20:40:55.316543,OrangeSchimmel,0,1.2,-0.29,752,12.76,65.0,10.27,78.62,940.08,43971
1768074056.8608377,2026-01-10T20:40:57.318117,OrangeSchimmel,0,0.1,-0.28,755,12.77,65.01,10.27,78.67,940.09,44153
